Id,Date__c,Start_time__c,End_Time__c,HolidayName__c,On_Call_Type_c__c,RecordType.name,Registered_Manager__c,Registered_SRE__c,Shift_Worked__c,Time_Zone__c,UserRegion__c,UserSubRegion__c,RegionInformation__c,RegionInformation__r.start_time__c,RegionInformation__r.end_time__c
a1j0e000006VGPkAAO,2/10/20,17:00:00.000Z,08:59:00.000Z,,Japan,Japan,,0050e000006Re0sAAC,Japan Oncall Shift,(GMT+09:00) Japan Standard Time (Asia/Tokyo),APAC,JP-Tokyo,a1i0e000003XuR0AAK,17:00:00.000Z,08:59:00.000Z
a1j0e000006KyZrAAK,17/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,00560000003TTIEAA4,0050e0000075Gty,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZsAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006NdD8AAK,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZtAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005X1KX,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZuAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000004fSK5,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZvAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005RubWAAS,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZwAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006RsyX,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZxAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009Mfzj,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZyAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000004fYnS,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006KyZzAAK,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000004fLBa,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya0AAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,005320000057zhjAAA,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya1AAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0057V000009MtJh,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya2AAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,00532000005Xcn7,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya3AAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000006S5sDAAS,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,CN-Beijing,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya4AAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,,0050e000007vvey,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
a1j0e000006Kya5AAC,18/10/20,09:00:00.000Z,14:30:00.000Z,,Weekend Pay,Weekend OnCall,0050e000007Akm9AAC,0050e000007wEtO,APAC Weekends,(GMT+11:00) Australian Eastern Time (Australia/Sydney),APAC,AU-Sydney,a1i0e000003KibBAAS,16:00:00.000Z,21:30:00.000Z
